u,v,euclid_dist,source,detour_ratio
31931,31933,300.0130243890111,bridge,
9196,9392,300.047853234065,articulation,
24621,24661,300.1358549421966,bridge,
16297,36889,300.3662476268322,detour,5.496725443989212
6920,7667,300.43646588254023,community,
32380,32393,300.5707151211452,bridge,
6373,6540,300.636844271412,community,
24135,24142,300.6660673948014,articulation,
28234,28448,300.9951373187349,articulation,
32561,32570,301.1660963039975,detour,5.958934820546827
19804,20051,301.2727357209435,detour,12.879649412141635
10768,11123,301.48680587244263,articulation,
18462,18467,301.68190234049086,bridge,
5381,5446,301.9369473559174,community,
4377,4389,302.03080614523924,bridge,
31286,31361,302.05097420927603,articulation,
6012,6620,302.22855954027307,community,
2969,3051,302.3510025014646,detour,10.610133266528399
21148,21402,302.61037831029427,community,
18696,18716,302.7623449270313,detour,5.089349420298767
16206,36853,302.85764786354036,bridge,
3577,3603,303.2052101685301,detour,24.52485753465717
10843,11112,303.6328532738732,community,
9000,9756,303.8395443662901,detour,26.690449239129492
30815,30899,303.8839596811619,articulation,
16166,16239,304.02228646282356,bridge,
24158,24277,304.1397937957906,articulation,
14021,14301,304.1598577192174,bridge,
19671,19804,304.38028896874147,community,
23770,23811,304.5037349732169,bridge,
5374,5446,304.59464027887424,community,
1107,1200,304.68697269528633,bridge,
30123,30151,304.6994653092742,articulation,
18553,18556,304.7246874308872,articulation,
24142,24161,304.76989137409794,articulation,
11330,11332,304.84825483685466,articulation,
23303,23445,305.39918957497804,bridge,
3567,3603,305.4421064403011,detour,5.017481904248687
652,660,305.5699309675545,bridge,
25881,25898,305.58702016076774,articulation,
20042,20050,305.60944490272794,detour,7.156387580892724
5315,5869,305.6705064163983,articulation,
32536,32574,305.72803452387194,community,
28446,28555,305.75213773940993,bridge,
2617,2677,305.90335509713327,articulation,
9000,10089,306.17916471144997,detour,26.425809367330373
25102,25141,306.5887732057725,community,
2912,3135,306.9576634343247,bridge,
32502,32556,307.9168708211968,detour,5.75908179934299
4614,4615,308.0572756450656,bridge,
29368,29448,308.40387009090335,bridge,
24158,24265,308.6551115428779,articulation,
11023,11762,308.7611997786751,detour,5.795437057757693
7183,7689,308.7945051302403,bridge,
18932,18994,309.0115979937958,detour,5.893038189798311
11305,11949,309.25746448303875,bridge,
18204,18274,309.32376527567413,articulation,
4175,4190,309.36368719073226,bridge,
12198,12208,309.61261389851484,detour,13.211093829372391
30811,30899,309.6302461918092,articulation,
33610,33632,309.67846087186985,bridge,
20363,20402,309.93836852583865,bridge,
17273,37252,310.14443388871143,detour,7.3911120707009355
4682,4727,310.15026457621775,articulation,
1990,2042,310.2018452406124,bridge,
19628,19748,310.3216965326153,detour,6.085809151573746
6705,7158,310.6436764779395,bridge,
29273,29345,310.674007335598,bridge,
25898,26269,310.8052464800221,articulation,
35765,35770,310.8237865322916,bridge,
26305,26607,311.12500759963007,bridge,
30123,30279,311.40040590958273,articulation,
19797,20051,311.4500955466839,detour,35.937446298296415
446,481,311.5691418365074,articulation,
5026,5114,311.6471353549474,community,
11139,11498,311.91683484318725,detour,7.228140491258619
4817,5037,312.24754478636083,articulation,
32089,32092,312.5143968210311,articulation,
16561,16568,312.78136289097245,bridge,
23089,23123,313.1397404168651,bridge,
27875,28033,313.17303853801303,detour,11.101112422006091
31579,31636,313.4246759578178,articulation,
16166,16240,313.49969704142285,detour,16.719652128829036
30121,30133,313.5360475822835,articulation,
11023,11155,313.5501033707787,detour,8.041857255174708
23435,23494,313.5825532152761,bridge,
29977,30138,314.29409215862347,articulation,
5323,5648,314.41384771492073,articulation,
9392,9490,314.4748152383245,articulation,
3606,3658,314.81355644482323,detour,21.701522677479982
346,385,315.08773017401654,articulation,
29218,29345,315.1973888979631,bridge,
11023,11179,315.4037458472956,detour,8.039805594401068
25977,26522,315.4552701063792,detour,7.22016695268254
34273,34295,316.48307167302136,articulation,
18607,18610,316.52185971733627,bridge,
4817,5407,317.4055224947192,articulation,
31289,31370,317.61806451198305,articulation,
32877,32887,317.76322144053836,bridge,
11432,36345,317.8143420274575,detour,8.851717604998727
2165,2167,318.04471762217406,bridge,
25898,26097,318.1101812293564,articulation,
18671,18709,318.2173090677773,bridge,
4159,4196,318.6198458970763,bridge,
4877,5250,318.80989842153684,articulation,
2506,2510,319.0002803683824,bridge,
4599,4642,319.0847997084681,bridge,
11432,36326,319.22884511335394,detour,8.567485623387823
33007,33047,319.71646041569824,bridge,
20187,20434,319.96515994309044,bridge,
950,974,320.0757522232146,bridge,
4392,4399,320.17892729232574,bridge,
18199,18201,320.19373550314623,articulation,
13838,36559,320.3865107412486,articulation,
8657,8884,320.6405538859113,articulation,
4122,4132,321.77394886786016,bridge,
750,785,321.7747286243384,articulation,
34278,34295,321.8317607151978,articulation,
11678,12198,321.9125400522455,bridge,
22981,22995,322.2000913113806,bridge,
11023,11156,322.8767050183275,detour,8.174421903153316
25976,26522,323.48724395905276,detour,6.778190109244006
23638,23751,324.001134093687,detour,12.842729748389287
22890,23063,324.55603607325116,bridge,
26191,26705,324.9580666002331,detour,5.400520991290295
33327,33351,325.0748297533499,bridge,
33347,33350,325.2754448294432,bridge,
652,662,325.29019680991166,detour,8.293304552651191
2578,2649,325.35433152352124,articulation,
10781,11156,325.5360984330659,detour,7.727941517388392
26193,26705,325.61455555018307,detour,5.034906716705011
455,498,325.62166000458603,bridge,
35010,35125,326.045891849831,bridge,
19013,19132,326.1217678439438,bridge,
5323,5869,326.3468114729382,articulation,
524,548,326.5894233512656,articulation,
28234,28463,326.8986048393415,articulation,
31515,31528,326.97885872752795,articulation,
31959,31971,327.1964127872547,bridge,
5703,6297,327.26986774869926,bridge,
33383,33386,327.4143398633156,bridge,
3483,3559,327.4410709146528,bridge,
27891,28058,327.59234263526895,detour,5.842824631102217
9860,10435,327.6308862920514,bridge,
24107,24170,328.16892170762804,articulation,
6814,6843,328.40216774847744,detour,5.398974603666207
17735,17979,328.4276833473758,bridge,
33054,33080,329.0772525329402,articulation,
20049,20161,329.0876577744215,bridge,
11139,11428,329.0878069965757,detour,6.504418913315931
25898,26199,329.32897851835213,articulation,
1784,1809,329.4149946941204,bridge,
7901,8418,329.44322140103,articulation,
4647,4707,329.70154780325873,community,
3844,3885,329.73828930308673,bridge,
3177,3189,329.77350363690493,bridge,
35481,35509,329.9010524562845,detour,10.475986326797042
31515,31666,330.18959613074594,articulation,
24166,24265,330.71621900878654,articulation,
6266,7204,330.7285490348097,detour,5.2190828988796705
14071,14573,330.7906237728849,articulation,
3762,3769,330.95147251094824,bridge,
30872,30919,331.63802285302677,articulation,
15767,15891,331.7206849207037,community,
23303,23307,331.99108022992755,articulation,
7066,7158,332.02606698146377,articulation,
346,367,332.0984911366278,articulation,
24147,24170,332.262742853777,articulation,
12902,13112,332.2789398721953,community,
4345,4374,332.4678411860937,bridge,
15097,15099,332.93526496906884,bridge,
9002,9749,333.0609966635686,detour,22.706184417886142
26877,26939,333.1801128296626,detour,5.006781537538129
19285,19803,333.21015987037384,community,
23648,23751,333.36098191906666,bridge,
33328,33329,333.5700499081693,articulation,
18702,18716,333.57328325906457,bridge,
32692,32693,333.9500480161809,detour,16.417640576122167
25914,26269,334.11727683342673,articulation,
32338,32351,334.22067968447607,bridge,
17515,17577,335.2862901982238,community,
15546,15664,335.7581924682257,bridge,
8647,9476,335.9907451092528,bridge,
3963,3998,336.1106951817338,bridge,
9002,9900,336.1685988157839,detour,22.441044671748546
2305,2358,336.39628674453616,bridge,
4025,4064,336.4312898461471,bridge,
9392,10189,336.59227232512103,articulation,
3588,3606,336.64586375626226,detour,15.935691830943687
11675,12198,336.6701447050548,detour,11.434370085640653
12684,12902,336.876990034495,community,
4058,4088,336.92049690260825,bridge,
28331,28555,337.10393749308565,community,
19234,19355,337.15817404074437,bridge,
9533,9574,337.4399731738435,community,
3483,3589,337.5671069189506,detour,17.02945276068747
4763,5037,337.76919556531595,articulation,
5315,5759,337.78675149309976,articulation,
3962,3998,337.93419188410525,detour,10.552928131148027
23502,23505,338.39111421290994,bridge,
2728,2776,338.8025173638154,detour,6.31306663162955
5604,6368,339.28110515807333,bridge,
17458,37252,339.45261356321805,detour,7.468975332814098
14865,15150,339.72846529489084,bridge,
28758,28809,339.9672431756292,bridge,
