u,v,euclid_dist,source
8973,11876,3206.0,vaccine
13935,36396,4051.4,vaccine
12999,13697,2256.3,vaccine
6855,12536,2711.0,vaccine
6181,10358,3011.5,vaccine
10663,11039,2383.2,vaccine
5069,6565,3325.4,vaccine
8250,9617,1520.1,vaccine
9502,10933,3506.7,vaccine
6857,10422,3009.0,vaccine
6186,7893,3706.1,vaccine
8368,36656,4419.2,vaccine
12475,13739,2034.6,vaccine
13103,36656,3064.5,vaccine
24731,25690,3604.0,vaccine
5456,11283,2655.1,vaccine
5339,6657,4436.1,vaccine
6760,12617,3030.2,vaccine
8652,14553,3586.3,vaccine
10193,11129,1017.8,vaccine
6342,8100,1671.4,vaccine
7484,9699,1535.0,vaccine
4858,9152,4623.7,vaccine
6236,10485,3986.9,vaccine
10807,12388,3606.1,vaccine
24695,25968,4563.9,vaccine
8508,9802,4234.6,vaccine
8607,14629,4084.2,vaccine
9552,11283,843.8,vaccine
6994,10631,3569.4,vaccine
6240,8200,2155.8,vaccine
11537,12450,3138.2,vaccine
24907,26114,4042.1,vaccine
12540,14556,2461.9,vaccine
7437,9740,3803.3,vaccine
10362,12425,2389.4,vaccine
6465,12540,4608.0,vaccine
7550,9844,2505.4,vaccine
7695,14751,4848.3,vaccine
13129,14762,1439.5,vaccine
4940,9375,3888.9,vaccine
9780,13305,2469.7,vaccine
10315,12450,3097.5,vaccine
8642,10048,2934.5,vaccine
7191,11938,3289.8,vaccine
7708,11945,2192.7,vaccine
9090,9262,1636.3,vaccine
9172,13261,4546.1,vaccine
5729,12617,3395.7,vaccine
7550,14953,4559.4,vaccine
26037,26341,1367.8,vaccine
9406,11129,1260.2,vaccine
4901,9420,3606.9,vaccine
10400,12540,1832.3,vaccine
10823,12570,3655.8,vaccine
7844,12050,4657.8,vaccine
5659,5803,4813.8,vaccine
7723,10126,3034.4,vaccine
7096,7447,2783.9,vaccine
7147,12008,4645.6,vaccine
5015,12655,3823.5,vaccine
10407,10424,3995.2,vaccine
8804,11283,2174.2,vaccine
9352,11291,4248.2,vaccine
7272,12112,2300.2,vaccine
7762,12114,2323.7,vaccine
11710,12829,1637.2,vaccine
10884,12790,1263.6,vaccine
6636,12915,3363.6,vaccine
5803,6128,1917.5,vaccine
5970,10692,4696.5,vaccine
7212,12231,2399.4,vaccine
11039,12882,4136.2,vaccine
10485,10632,2127.1,vaccine
10413,12829,2853.7,vaccine
6620,9946,2440.7,vaccine
7899,12340,2120.7,vaccine
12396,14960,2697.2,vaccine
5039,6199,3097.0,vaccine
5083,10723,2808.7,vaccine
11117,14762,4102.9,vaccine
9961,11568,2591.4,vaccine
8996,13356,2936.5,vaccine
16712,16829,684.6,vaccine
7374,10143,4393.7,vaccine
12913,13314,2123.2,vaccine
28821,28882,4280.7,vaccine
5099,8666,3263.2,vaccine
11882,15079,2649.7,vaccine
10582,10763,2325.3,vaccine
5039,10763,2669.7,vaccine
8230,13492,3510.8,vaccine
16669,16879,3729.1,vaccine
5446,8758,1679.8,vaccine
9844,10725,3616.5,vaccine
12440,15767,3853.9,vaccine
8754,11568,1349.9,vaccine
10207,12790,1600.5,vaccine
11291,15151,3135.7,vaccine
9005,9476,2906.3,vaccine
10054,10823,3849.0,vaccine
10512,10827,2222.7,vaccine
7417,10339,2902.9,vaccine
6696,7708,1471.9,vaccine
6835,12233,3062.6,vaccine
8056,9458,3012.7,vaccine
4781,12882,4334.2,vaccine
5262,8874,3876.7,vaccine
6645,10286,2495.6,vaccine
24575,25219,4229.7,vaccine
5110,10908,4610.7,vaccine
10147,12834,1832.5,vaccine
7041,12340,2561.0,vaccine
11150,15767,4459.7,vaccine
9610,36581,4846.5,vaccine
8973,9539,1350.6,vaccine
9005,13724,4406.3,vaccine
8368,13704,3973.9,vaccine
16741,17528,2064.7,vaccine
6181,7749,819.4,vaccine
7392,10375,3022.0,vaccine
6217,12287,4406.7,vaccine
13724,36195,3084.1,vaccine
11480,12287,1460.4,vaccine
11977,12300,1127.7,vaccine
12468,13688,3102.1,vaccine
10707,12931,1980.1,vaccine
10699,12233,3275.8,vaccine
9089,9657,1290.7,vaccine
6412,12361,4452.5,vaccine
12112,12367,4768.7,vaccine
8128,9577,1512.3,vaccine
9740,10763,943.5,vaccine
10797,12340,800.0,vaccine
6760,10407,1913.3,vaccine
11433,12348,1205.8,vaccine
8652,11669,1591.6,vaccine
9699,12965,3854.3,vaccine
10243,12999,1923.4,vaccine
15871,16889,4078.4,vaccine
7132,12440,2630.2,vaccine
8594,14474,4927.2,vaccine
7523,11568,3428.0,vaccine
9089,14487,3895.4,vaccine
4858,6451,2043.3,vaccine
6236,8062,1772.0,vaccine
6299,12418,4693.2,vaccine
25918,26003,678.5,vaccine
13006,14188,2344.9,vaccine
10752,13103,1709.4,vaccine
10742,12367,1903.1,vaccine
8607,11761,2026.4,vaccine
12233,12475,3599.0,vaccine
8469,14575,4736.4,vaccine
24734,26040,4379.8,vaccine
9262,10871,4419.6,vaccine
10316,13172,2294.1,vaccine
6465,10375,2544.4,vaccine
7781,36195,943.2,vaccine
7695,11813,4891.1,vaccine
4978,11093,2910.2,vaccine
4940,6616,2451.8,vaccine
9710,13272,2982.1,vaccine
5729,10407,2407.0,vaccine
6451,10413,2572.7,vaccine
12361,36581,1587.5,vaccine
12790,36582,717.7,vaccine
7550,11933,2237.7,vaccine
2765,3197,3539.3,vaccine
4901,6652,4684.7,vaccine
4940,11266,3998.9,vaccine
9718,11117,1250.8,vaccine
8666,8973,2388.1,vaccine
12348,14188,2404.8,vaccine
7191,14188,4047.1,vaccine
5028,11433,3199.5,vaccine
9406,13048,3046.6,vaccine
10365,10413,737.1,vaccine
7272,9797,1554.6,vaccine
7762,9798,1604.2,vaccine
7331,14575,4652.3,vaccine
12871,14594,2321.4,vaccine
10627,12442,915.0,vaccine
7723,12105,2158.6,vaccine
9469,13172,3492.6,vaccine
10466,10534,3733.0,vaccine
7284,7331,4420.7,vaccine
9413,11433,4838.5,vaccine
8741,9123,904.8,vaccine
6636,10707,4257.5,vaccine
5970,8452,1220.6,vaccine
10107,12475,2848.7,vaccine
5786,10663,3114.6,vaccine
10571,12482,1089.3,vaccine
11670,14594,2311.9,vaccine
9440,13291,3778.8,vaccine
10413,10627,2552.6,vaccine
7402,15027,4669.3,vaccine
7899,10023,1567.9,vaccine
6620,7392,4464.9,vaccine
12915,15030,3847.6,vaccine
12910,13172,599.5,vaccine
10692,12613,2898.4,vaccine
5083,8565,3954.2,vaccine
5136,12613,3816.4,vaccine
11876,14853,3361.9,vaccine
7374,7484,4469.1,vaccine
8847,9355,834.3,vaccine
6131,12776,3583.8,vaccine
