u,v,euclid_dist,source,detour_ratio
919,922,10.651441607155135,bridge,
11370,11373,10.736108429993294,bridge,
13649,13652,10.82699758950681,bridge,
6855,6872,10.839542668744379,bridge,
8355,8358,11.30346134001761,bridge,
883,888,11.337039809340173,bridge,
3095,3098,11.365566318390115,bridge,
8577,8580,11.471609295762175,bridge,
5247,5258,11.60108566076517,bridge,
5024,5037,11.786097020318783,bridge,
9077,9083,11.789079530731284,bridge,
4194,4201,11.835345769232472,bridge,
808,811,11.881204107528898,bridge,
4197,4202,11.902212524575637,bridge,
3742,3746,12.27610263352175,bridge,
8356,8357,12.276741908277593,bridge,
4278,4323,12.533910195783191,bridge,
8433,8438,12.763490070835326,bridge,
4372,4375,12.804853787121774,bridge,
3519,3522,12.915730987755113,bridge,
14422,14423,13.17383350438415,bridge,
3088,3091,13.224587018874113,bridge,
8783,8840,13.232493608355316,bridge,
12211,12218,13.43614623713063,bridge,
512,513,13.716289343582577,bridge,
10216,10536,13.72513365788904,bridge,
12479,12484,13.728635825407578,bridge,
8403,8406,13.737400540050336,bridge,
12239,12335,13.775346678518005,bridge,
10405,10452,13.809790020479973,bridge,
9241,9248,14.102447094326456,bridge,
11477,11480,14.155735413567054,bridge,
12521,12524,14.28477261026222,bridge,
8086,8093,14.291114683150209,bridge,
88,94,14.303117619343748,bridge,
3742,3743,14.504043454612255,bridge,
12988,12989,14.543628481581857,bridge,
3742,3747,14.567863119171093,bridge,
11491,11494,14.612073898613243,bridge,
6434,6435,14.65619417487142,bridge,
14100,14101,14.712954226196503,bridge,
557,560,14.911569452820984,bridge,
2262,2269,14.949737944150604,bridge,
2012,2016,14.96149615664025,community,
14304,14306,15.00726492682336,bridge,
12528,12530,15.034553389728693,bridge,
5242,5248,15.077099256722624,bridge,
506,589,15.13262168896965,bridge,
8434,8437,15.148792076340282,bridge,
9618,9629,15.234557489220984,community,
12550,12551,15.325607548251748,bridge,
13548,13549,15.501667038789831,bridge,
12567,12570,15.524761631614718,bridge,
7379,7382,15.555290356117235,bridge,
6605,6610,15.67953575276143,bridge,
5406,5444,15.759398478521508,bridge,
9807,9820,15.770731223898368,community,
2941,2945,15.978826002029045,bridge,
14164,14165,15.98636138063729,bridge,
5269,13818,16.006224738874852,community,
3032,3033,16.10791418905566,bridge,
5257,5261,16.18453098200285,bridge,
6978,6983,16.2385768601816,bridge,
1282,1291,16.34726132091647,bridge,
12074,12075,16.468952439908904,bridge,
7380,7381,16.543081063996535,bridge,
12374,12375,16.553324629713934,bridge,
6594,6597,16.72638093223905,bridge,
