u,v,euclid_dist,source
4308,4641,3285.8,vaccine
5329,5549,3078.5,vaccine
4834,5788,2795.6,vaccine
4094,5617,4866.9,vaccine
2214,2961,3098.8,vaccine
3868,3955,1065.9,vaccine
4659,13718,3759.5,vaccine
5084,5600,3535.5,vaccine
2961,3118,1702.8,vaccine
4331,4948,4329.3,vaccine
5429,5788,3241.2,vaccine
2698,2961,1836.0,vaccine
5607,7324,3153.7,vaccine
6084,8084,4134.2,vaccine
4025,4178,3891.4,vaccine
5366,6021,1489.8,vaccine
6838,7253,3258.2,vaccine
1080,1866,4138.8,vaccine
6643,13762,4522.5,vaccine
3615,4048,3057.4,vaccine
6012,8247,4992.7,vaccine
1705,1908,1427.2,vaccine
5510,7301,3817.7,vaccine
6650,7324,1224.0,vaccine
5030,7469,4590.0,vaccine
1519,1866,2273.4,vaccine
6958,7422,4981.4,vaccine
1768,2302,3594.2,vaccine
1490,1684,4304.3,vaccine
1619,1905,2458.8,vaccine
6998,8247,4898.7,vaccine
13732,13848,4994.9,vaccine
5575,7469,4192.1,vaccine
4822,13719,3518.5,vaccine
6869,7475,4842.4,vaccine
1749,2448,2454.2,vaccine
2047,3185,4410.8,vaccine
4355,13775,3773.5,vaccine
2007,2698,4249.2,vaccine
6012,13848,3849.5,vaccine
4939,13775,3543.0,vaccine
1421,1705,1876.4,vaccine
3111,3343,4928.5,vaccine
4416,5366,4323.9,vaccine
5064,6958,3773.2,vaccine
4427,6204,4128.1,vaccine
6998,13848,3504.6,vaccine
1533,1632,1697.0,vaccine
5119,7475,4598.4,vaccine
5497,13775,2387.1,vaccine
7065,7427,3587.6,vaccine
4954,5366,2528.4,vaccine
4509,5542,4436.1,vaccine
5592,6958,2481.4,vaccine
6870,6965,2887.0,vaccine
1075,2143,3612.6,vaccine
5600,7475,4019.9,vaccine
1905,1972,1521.7,vaccine
2900,3624,3988.7,vaccine
3125,3876,4631.4,vaccine
5543,7082,2890.2,vaccine
2793,2881,4606.0,vaccine
1515,2143,2412.2,vaccine
1664,1802,1689.8,vaccine
6208,7082,2389.1,vaccine
1848,2881,3674.6,vaccine
1738,2143,2050.3,vaccine
4030,4472,3945.1,vaccine
4648,5497,2274.6,vaccine
7339,7741,3056.6,vaccine
355,497,3746.3,vaccine
4518,4659,2639.7,vaccine
6643,7230,4774.4,vaccine
6698,7830,1847.5,vaccine
4315,4472,2405.7,vaccine
5127,13728,4237.6,vaccine
2828,2900,3562.6,vaccine
5126,5543,4808.0,vaccine
7636,8300,4394.9,vaccine
2449,3111,2531.8,vaccine
4354,13754,3610.4,vaccine
5030,13756,3320.7,vaccine
4706,5729,2984.1,vaccine
2204,2958,3121.3,vaccine
1495,1883,4488.9,vaccine
4331,13770,4750.3,vaccine
7103,13770,4540.9,vaccine
2950,3111,3160.7,vaccine
5575,13756,2297.0,vaccine
6012,7333,4041.1,vaccine
4214,13728,4012.8,vaccine
5729,13819,2817.1,vaccine
4939,7298,4568.9,vaccine
1058,1617,3777.9,vaccine
1713,1883,3658.9,vaccine
1684,1701,3718.9,vaccine
6998,7333,1943.0,vaccine
6204,7557,3275.9,vaccine
5497,7298,3643.8,vaccine
4981,7453,4855.2,vaccine
1087,1725,4189.8,vaccine
5595,7367,3881.4,vaccine
7648,8379,2343.4,vaccine
2007,2036,4548.7,vaccine
4187,4339,3778.5,vaccine
5542,6935,4230.4,vaccine
7088,7557,3841.6,vaccine
5434,13831,3273.3,vaccine
6025,13770,2934.8,vaccine
4938,5420,1915.3,vaccine
7069,7639,4207.2,vaccine
4472,13904,3358.6,vaccine
7406,7557,3644.0,vaccine
1862,2006,4710.4,vaccine
1490,2115,2792.6,vaccine
7673,8910,4272.6,vaccine
4354,4406,2895.8,vaccine
7338,7639,1384.8,vaccine
5005,13904,2450.4,vaccine
4509,4518,2458.4,vaccine
5002,6950,3894.4,vaccine
6950,13831,4601.4,vaccine
1426,1486,2342.5,vaccine
5543,5561,3837.7,vaccine
5408,7639,4404.0,vaccine
1458,1772,3180.0,vaccine
1809,2036,2140.2,vaccine
4214,4342,4088.9,vaccine
4440,5526,3698.5,vaccine
5127,7165,3846.8,vaccine
1064,2137,3644.8,vaccine
1781,1818,4526.3,vaccine
4659,5607,2289.9,vaccine
5500,5609,2830.1,vaccine
7083,7643,4188.3,vaccine
5491,7880,4647.2,vaccine
6237,6950,3624.2,vaccine
4277,4572,3069.9,vaccine
4630,5656,3296.5,vaccine
495,518,1001.3,vaccine
6021,7880,3241.4,vaccine
6698,7165,4548.8,vaccine
1722,2137,2839.8,vaccine
1579,2240,4894.2,vaccine
4178,13723,3621.1,vaccine
4518,13725,2479.0,vaccine
1685,1875,4339.1,vaccine
2629,2950,2079.0,vaccine
4472,4648,2272.6,vaccine
4834,13766,3733.0,vaccine
4306,4967,4829.7,vaccine
4094,13736,3492.8,vaccine
5365,7171,3357.7,vaccine
1421,1515,1894.0,vaccine
2012,2362,2144.8,vaccine
4641,4967,1557.9,vaccine
5429,13766,1864.8,vaccine
1504,1853,4046.5,vaccine
2958,3046,2155.0,vaccine
4926,5127,3364.1,vaccine
4440,13783,4877.2,vaccine
5366,13806,2790.5,vaccine
6025,7279,4141.8,vaccine
2240,2362,4057.6,vaccine
5799,13766,2974.6,vaccine
7088,13767,3707.8,vaccine
5500,14009,1693.4,vaccine
4845,6218,3357.5,vaccine
3103,3208,810.3,vaccine
5635,13806,1955.5,vaccine
2780,3661,4732.8,vaccine
5005,7355,4621.2,vaccine
1121,1689,3752.2,vaccine
7253,8300,4860.5,vaccine
7589,13885,4217.7,vaccine
4948,6917,3966.7,vaccine
3876,4419,4502.6,vaccine
4339,5408,4804.7,vaccine
5292,7617,4436.6,vaccine
1986,2027,1588.0,vaccine
4178,4335,4826.8,vaccine
4944,5292,3814.0,vaccine
4938,14235,4855.9,vaccine
1763,2051,3703.0,vaccine
4861,5408,1600.6,vaccine
7729,8725,3859.9,vaccine
5420,7836,4673.2,vaccine
4427,13891,3411.3,vaccine
7253,13891,2623.3,vaccine
5002,5505,4910.6,vaccine
5491,14235,3600.7,vaccine
2342,2723,1931.6,vaccine
4440,4509,2169.2,vaccine
