u,v,euclid_dist,source,detour_ratio
4806,4830,10.17029979047101,bridge,
11647,11683,10.606963439927483,bridge,
4169,4172,10.917828699499275,bridge,
36131,36138,11.064437158883212,bridge,
35508,35509,11.099174626802048,bridge,
11111,11144,11.110941730542958,bridge,
12741,12772,11.427448457961413,bridge,
56,59,11.530921912635655,bridge,
35384,35385,11.551509346196646,bridge,
29650,29659,11.56092688805605,bridge,
13535,13557,11.626607350934364,bridge,
11677,11710,11.654364857323696,bridge,
44,45,11.866382974400564,bridge,
31644,31645,11.921145440383743,bridge,
24863,24865,12.08598204207712,bridge,
12480,12522,12.135748340519655,bridge,
34475,34478,12.282154688804644,bridge,
10452,10457,12.372619492610317,bridge,
21131,21284,12.388649757840666,bridge,
35514,35515,12.683941980495947,bridge,
10457,10473,12.701504530520706,bridge,
12618,12638,12.722280709559298,bridge,
29656,29692,12.728674862187757,bridge,
10870,10954,12.914983237277507,bridge,
12127,12156,13.013098174459401,community,
43,46,13.32136490224795,bridge,
29772,29777,13.403828065941829,bridge,
6644,6648,13.405291800899636,bridge,
35503,35506,13.494175516828616,bridge,
29571,29575,13.500770734271232,bridge,
34772,34787,13.523191321516423,bridge,
27559,27562,13.615766490774147,bridge,
23428,23628,13.61617994219125,bridge,
34758,34763,13.831637791821032,bridge,
6634,6635,13.836963021749849,bridge,
29568,29570,13.883775553804439,bridge,
12764,12793,13.883906804363358,bridge,
1154,1155,13.929239220477124,community,
33740,33741,14.107300124746628,bridge,
28389,37736,14.163387005037068,bridge,
10293,10320,14.201425533223711,bridge,
29771,29778,14.38818261753935,bridge,
33733,33736,14.425017739753791,bridge,
33739,33742,14.699606685724323,bridge,
13108,13196,14.712394977247712,bridge,
34230,34233,14.780693888379597,bridge,
24880,24886,15.195402879642764,bridge,
14528,14547,15.33914255187524,bridge,
30679,37152,15.471721859452504,bridge,
29686,29691,15.471903654518417,bridge,
404,407,15.512655968642527,bridge,
24864,24866,15.53164748445249,bridge,
9550,9562,15.545235303683695,bridge,
21212,21226,15.609935187875356,bridge,
36132,36134,15.675048395779012,bridge,
34708,34711,15.769270720913134,bridge,
13052,13082,16.072969989728985,bridge,
15034,15182,16.111882250688513,bridge,
12893,12905,16.115751102486506,bridge,
4420,4447,16.16893888656412,bridge,
30682,37157,16.216072552222236,bridge,
31570,31573,16.396095773330725,bridge,
34757,34764,16.420727171767922,bridge,
8953,8972,16.612874846010275,community,
1750,1759,16.639084468053923,bridge,
18737,18764,16.748378602714666,community,
20749,20822,16.809590223760605,community,
21306,21316,16.91180012700876,bridge,
9990,10014,17.113095860119977,bridge,
35549,35552,17.2227815194361,bridge,
34707,34712,17.441082822619137,bridge,
21188,21295,17.528422730650167,bridge,
13282,13343,17.62330476455238,community,
13909,13934,17.708542196668922,community,
4544,4613,17.824909186845936,community,
211,222,18.038583409951844,bridge,
22011,22018,18.057901120183868,bridge,
4548,4616,18.20632150483382,community,
8270,8273,18.2506339523095,community,
28379,28404,18.30394725743756,bridge,
4532,4601,18.319055978674864,community,
14585,14625,18.41476506272859,bridge,
4524,4595,18.509462395286615,community,
9550,9561,18.65200064837756,bridge,
18738,18763,18.71308182970334,community,
10623,10654,18.806730289709105,bridge,
398,429,18.9055254070913,bridge,
26090,26111,19.210040797497896,bridge,
14734,14796,19.232283761705915,bridge,
247,252,19.315218014422687,bridge,
24879,24885,19.532479067965717,bridge,
11710,11776,19.58136154071619,bridge,
11108,11144,19.660240960401758,bridge,
13082,13207,19.738254731304597,bridge,
248,251,19.778453011013575,bridge,
6344,35820,19.99138723320217,community,
27833,27836,20.151883028522843,bridge,
18450,36370,20.263394023661697,bridge,
11240,11256,20.32380522700144,bridge,
16853,16888,20.348920434076003,bridge,
15828,15839,20.64894548732878,bridge,
16024,16046,20.67877916980147,bridge,
14658,14715,20.684002496375737,bridge,
21187,21226,20.830597380653625,bridge,
8460,8479,20.837511443746482,bridge,
12618,12659,20.895823291819696,bridge,
11338,36152,20.915622265199005,bridge,
5853,5871,20.928191204843888,bridge,
10344,10374,21.031235017947196,bridge,
22531,37730,21.35780219623466,bridge,
22508,37729,21.440377717004687,bridge,
13299,13328,21.44879265099232,bridge,
1040,1043,22.050222177536078,bridge,
13697,13874,22.33062160022908,bridge,
6648,6652,22.33646251004993,bridge,
10347,36063,22.345635359712418,bridge,
31485,31491,22.568901556434696,bridge,
30808,30817,22.689796982011387,community,
10911,36117,22.794501008845327,bridge,
20698,20725,22.843717945421407,bridge,
20872,20883,22.939055170498456,bridge,
11581,11589,23.108808939258655,bridge,
6806,6808,23.117434262518422,bridge,
14806,14809,23.331279099596586,bridge,
11253,11256,23.341527163808173,articulation,
11236,11256,23.415439302243875,articulation,
14805,14810,23.451191499121585,bridge,
20857,20872,23.84381191674631,community,
18556,18557,23.963913619793168,bridge,
1004,1025,24.01275187664014,bridge,
10442,36077,24.067645847982092,bridge,
10530,11544,24.081502677315296,bridge,
31448,31454,24.12381560508089,bridge,
14063,14087,24.64601174492714,bridge,
14376,14418,24.705104247054326,bridge,
31911,31918,24.835053535122608,bridge,
36498,36499,24.86317415133447,bridge,
31853,31856,24.93049285179914,bridge,
13279,13344,25.320006383603943,community,
35842,35852,25.410552901817823,bridge,
13841,13911,25.70782698514345,bridge,
15781,15858,25.74242936125048,bridge,
14183,14219,25.767734560244296,bridge,
35843,35848,25.79443240221202,bridge,
22825,22872,25.987108392417056,bridge,
8539,8545,26.008956549847824,bridge,
23322,23341,26.149478563507007,bridge,
11236,11240,26.390369672596663,articulation,
11240,11267,26.578839881720757,articulation,
1925,1929,26.70931798049902,bridge,
11044,36131,26.733626252594394,community,
31887,31919,26.768411609679728,bridge,
25877,25904,27.00238557054808,community,
31147,31158,27.17159354754928,bridge,
17628,17670,27.457997996445638,bridge,
27726,27896,27.627125805465855,bridge,
20980,21000,27.64561417092829,bridge,
10347,36070,27.68683289935878,bridge,
15034,15096,27.864853901475392,bridge,
13254,13288,27.9254480482558,bridge,
31868,31870,28.01823279830381,bridge,
31912,31919,28.0195102370999,bridge,
20218,20261,28.31949646892549,bridge,
6260,6268,28.416597882338376,bridge,
21188,21284,28.49746702254458,community,
6630,6676,28.524624290921714,bridge,
10582,10597,28.902873213902552,bridge,
24504,24549,28.934135155404746,bridge,
6522,6552,29.024952235035677,bridge,
8474,8483,29.31485491505184,bridge,
20964,21000,29.356926453446448,bridge,
6112,6132,29.36968306325431,bridge,
20980,20986,29.375514309312702,bridge,
8630,8663,29.43811839560371,community,
5681,5705,29.628463868949403,bridge,
12244,12281,29.77804092280256,bridge,
6639,6644,29.817496517309127,articulation,
15240,15364,29.830190996665763,bridge,
5700,5718,30.16307000065897,bridge,
5864,35809,30.197836006953562,bridge,
11044,36132,30.240918402229468,community,
3070,3076,30.32449848047597,bridge,
5418,5478,30.534110715630728,bridge,
5618,5662,30.54029934980793,bridge,
31201,31210,30.649982269691,community,
29536,29540,30.909226215912884,bridge,
15947,16009,30.922541966656468,bridge,
37723,37728,30.934445493219744,bridge,
18182,18249,30.948724433754634,bridge,
5296,5347,31.043091553692875,bridge,
11044,36138,31.073303559761115,community,
5605,5649,31.114368764760087,bridge,
18356,36363,31.160952412540478,bridge,
31450,31519,31.264196991947806,community,
5399,5461,31.296438065743764,bridge,
8000,8203,31.319098583063514,bridge,
11127,11155,31.375259238738103,bridge,
10579,10608,31.429737422366767,bridge,
36064,36070,31.499573256932056,bridge,
6634,6637,31.64534330508798,articulation,
37724,37728,31.67043304565107,bridge,
23996,24035,31.757719901936852,bridge,
20790,20836,31.824845711377872,bridge,
13947,14130,31.90913580476284,community,
21207,36493,32.1468825050507,bridge,
23996,24057,32.149085329203224,bridge,
18255,36360,32.260966284027106,bridge,
22151,22484,32.331256261595165,bridge,
37723,37726,32.5456276790992,bridge,
5324,5360,32.73570329451637,bridge,
20764,20836,32.83387478695307,bridge,
12296,12357,33.05882352937529,bridge,
5552,5606,33.53405163330649,bridge,
12947,12956,33.6196650600022,bridge,
4386,4387,33.682799737724416,bridge,
8882,8909,33.69990187652185,bridge,
14121,14180,33.76038911067312,bridge,
20698,20704,33.83010098443683,community,
3069,3078,33.870298899124286,bridge,
8794,8953,33.96980465262856,community,
25945,36731,34.061208646635606,bridge,
21084,21100,34.14196842145106,bridge,
20790,20812,34.179477320081794,bridge,
16596,16610,34.28185218667292,bridge,
1792,1794,34.294227596240454,bridge,
21068,21100,34.47412997595245,bridge,
11509,36155,34.489220294084994,bridge,
15163,15444,34.50290861550821,bridge,
29537,29539,34.63725929661496,bridge,
7435,35852,34.675932047298566,bridge,
5758,5795,34.695253032507466,bridge,
9123,9128,35.012860559366224,bridge,
31918,31933,35.252211142588685,bridge,
14648,14680,35.27549915364737,bridge,
27607,27612,35.29943822217284,bridge,
11240,11253,35.30451310727621,articulation,
12281,12413,35.37429682017831,bridge,
11343,11403,35.52527608810693,bridge,
14774,14777,35.7295967194488,bridge,
21084,21092,35.82247803860282,bridge,
28274,28276,35.91349783618375,bridge,
31853,31863,35.95616935978383,articulation,
34826,34855,35.98575046959645,bridge,
8023,8038,36.01807687716081,community,
13010,13031,36.098381151385425,bridge,
10344,10347,36.14527820274097,articulation,
6320,6345,36.475576686890285,bridge,
21162,21226,36.499804410851894,bridge,
13299,13334,36.59597859456107,articulation,
11041,36134,36.638563250995404,bridge,
21212,21268,36.73133754828965,community,
7591,7597,36.803741328269474,bridge,
10347,10374,36.84924544572729,articulation,
31446,31461,37.18569614048941,bridge,
15530,15646,37.37209862258679,bridge,
11036,36125,37.634724042733716,bridge,
36360,36380,38.059274936426725,bridge,
10346,10396,38.392146442156125,bridge,
12353,12453,38.396425100739364,bridge,
28360,28366,38.548704573221244,bridge,
21385,21454,38.69695118369432,bridge,
18355,36360,38.92674738594645,bridge,
21131,21188,38.9506514138091,community,
14100,14146,38.97956157577196,bridge,
3140,3203,39.01359164988915,bridge,
28361,28366,39.15358255429159,bridge,
24599,24672,39.209454531759775,bridge,
833,845,39.29937017418714,bridge,
1038,1040,39.44100476210815,bridge,
29841,29846,39.57686377019311,bridge,
1958,1980,39.623633073695174,bridge,
21165,36487,39.75315749281603,bridge,
15733,15863,39.76505747690624,bridge,
21134,21226,39.797508231249715,bridge,
10835,10911,39.80787055448679,bridge,
15828,15911,39.816521619973734,community,
14688,14735,39.858220029799696,bridge,
1937,1943,40.308832770919025,bridge,
31853,31862,40.31851032269873,articulation,
6880,6917,40.439116739765105,bridge,
35841,35843,40.43971314911271,bridge,
15074,15238,40.473025843684205,bridge,
1880,1885,40.6679604005081,bridge,
13939,36192,40.679538431518075,community,
5667,5695,40.84963149592673,community,
16338,16374,41.26360986771743,bridge,
1950,1958,41.54149108947922,bridge,
14774,14775,41.57137853403193,bridge,
24291,24316,41.72466630570531,bridge,
18256,36363,41.861682573732445,bridge,
10807,36112,41.90959597654416,bridge,
18621,18728,41.96924517977924,bridge,
24426,24498,42.10112148242064,bridge,
14887,14981,42.150476355294096,bridge,
771,783,42.166097832649605,bridge,
30189,31209,42.238255670612176,community,
6639,6648,42.272363507123345,articulation,
31081,31087,42.43579841843044,bridge,
7048,7064,42.47383080970394,bridge,
7553,7618,42.83055343247491,bridge,
19338,19409,43.100003750237384,bridge,
195,200,43.140324926879764,bridge,
29898,29902,43.21558459546406,bridge,
23966,23996,43.3616295974297,bridge,
11693,11775,43.51044644883628,bridge,
29971,29983,43.72168103601033,community,
13939,36191,43.99347874952412,community,
23962,23993,44.01144942438572,bridge,
10473,36090,44.128066262374,bridge,
18557,18656,44.15527074799494,bridge,
1884,1926,44.16466172085392,bridge,
16711,18737,44.35053648450905,community,
20202,20219,44.46780638126986,bridge,
16108,16121,44.641395997404224,bridge,
5641,5695,45.77289721609876,community,
18299,18387,46.21556771518922,bridge,
31484,31489,46.24470673090551,bridge,
6489,6596,46.24495489389597,bridge,
13299,13374,46.31062828065416,articulation,
13380,13482,46.46114503631289,bridge,
21134,21212,46.70336141029861,bridge,
25438,25439,46.710961102970145,community,
17994,18062,46.71534886434621,bridge,
19117,19339,46.770241205331594,bridge,
20670,20725,46.90268128177143,bridge,
23991,24057,47.09619422140377,bridge,
1958,1990,47.124646059509125,bridge,
28546,28558,47.51018730047523,bridge,
27430,27473,48.08745256972743,bridge,
15361,15509,48.20105074193234,bridge,
31641,31645,48.321331862242566,bridge,
9561,9594,48.651648163569114,bridge,
13882,13883,48.72302231771708,bridge,
32937,32971,48.86426920105741,bridge,
18555,18656,49.11913523339927,bridge,
18557,18655,49.13154230312994,bridge,
28953,28967,49.188859641406395,bridge,
32578,32581,49.35181066623602,bridge,
13939,14070,49.41856883008518,community,
12277,12370,49.62901202470855,bridge,
18390,36399,49.679814880850124,bridge,
10637,10744,49.80152106964528,bridge,
14279,14284,49.84115315033783,bridge,
31063,31077,49.95377172918797,bridge,
1172,1180,49.99895381167416,bridge,
8557,35922,50.014237769170094,bridge,
22219,22451,50.07915823184517,bridge,
21092,21162,50.087296686803484,bridge,
4479,4617,50.18460212372937,community,
18599,36400,50.21949442248229,bridge,
3139,3202,50.24218781202319,bridge,
739,748,50.35152918225106,bridge,
765,779,50.41667590148475,bridge,
10675,10749,50.45500949212238,bridge,
9562,9614,50.61670761728678,bridge,
31642,31644,50.72314960328031,bridge,
32417,32447,50.76741325402389,bridge,
22826,22835,50.85917305271554,bridge,
9594,9628,51.08575024493495,bridge,
1925,1945,51.39309281092986,bridge,
4478,4597,51.72687412199765,community,
2458,2477,51.86395943596679,bridge,
11044,11127,51.94530012005626,bridge,
31075,31085,51.990590669323964,bridge,
1806,1830,52.25213172172333,bridge,
1190,1198,52.850660600728894,bridge,
22842,22947,52.90033394230571,community,
1174,1182,53.04388523274457,bridge,
31642,31643,53.076825202914975,bridge,
20485,20493,53.24079495949289,bridge,
12410,12471,53.24984628206055,bridge,
2580,2631,53.361179831601454,bridge,
28204,28205,53.461871783591235,bridge,
31442,31446,53.62560669996562,bridge,
7070,7079,53.74497969017125,bridge,
11535,11539,54.11250736937271,bridge,
10180,36054,54.38187597989624,bridge,
13531,13692,54.565867775277496,bridge,
28465,28667,54.57843551798738,bridge,
10204,10238,54.62496202636144,bridge,
5685,5695,54.69455526018109,community,
1040,1042,54.814145631524404,bridge,
15741,15828,54.95709110454471,community,
10954,10962,54.964140912781936,bridge,
10466,10485,55.042284763778916,bridge,
1868,1880,55.34222617219655,bridge,
14349,14472,55.38489577155934,bridge,
11712,11844,55.62117835906554,bridge,
6630,6635,55.69040565733042,articulation,
1037,1042,56.005293349820334,bridge,
14542,14688,56.18965671823736,bridge,
5671,5727,56.33453889442502,community,
25231,25358,56.41795447647453,bridge,
10465,10477,56.6085881231147,bridge,
32422,32457,56.78105253342637,bridge,
5673,5695,56.81727344121276,community,
23993,23996,56.845167741682005,articulation,
11711,11843,56.99252240529492,bridge,
13939,36196,57.09594663983787,community,
7436,35848,57.17749742272939,bridge,
10661,10749,57.47669822254285,bridge,
16415,16466,57.77433323230481,community,
19102,19108,57.871891702667234,bridge,
1764,1788,58.38375852438426,bridge,
6522,6630,58.41153430470096,community,
5677,5733,58.47002711357914,community,
29492,29497,58.479805797440704,bridge,
11267,11338,58.73582158238652,articulation,
1788,1812,58.82761156532376,bridge,
19663,19722,59.018618958365096,bridge,
5645,5695,59.06583445127899,community,
7184,7226,59.07417559611245,bridge,
34164,34173,59.312446102956265,bridge,
1860,1878,59.67937949935793,bridge,
16624,16675,59.82804993539945,community,
24057,24189,59.93345333946963,bridge,
13279,13345,60.303191122174425,community,
10417,10465,60.37699589801289,bridge,
1065,1082,60.635207518232306,bridge,
24428,25099,60.78057801602178,bridge,
28683,28688,60.99171005404936,bridge,
9614,9623,61.019554000933205,bridge,
21048,21084,61.02830652953969,bridge,
10675,10750,61.56068961090719,bridge,
32435,32465,61.62746095444528,bridge,
1747,1761,61.71593042991626,bridge,
5650,5706,61.84182012475632,bridge,
1840,1860,62.067679453370154,bridge,
11256,11319,62.11245433940766,articulation,
5606,5682,62.15666934629775,bridge,
6876,7020,62.16190902176671,bridge,
21050,21084,62.26753956985668,bridge,
5557,5650,62.414108829970864,bridge,
13939,36199,62.45616279525228,community,
6526,6584,62.6018141797193,bridge,
30146,30148,62.60332104903191,bridge,
11253,11338,62.72911575472308,articulation,
5640,5695,62.77432432942783,community,
5682,5744,62.89733727883934,bridge,
10870,10953,63.14248840535306,bridge,
5217,5289,63.60606439813043,bridge,
19034,19102,63.66988182667004,bridge,
32303,32325,63.89333469065157,bridge,
6639,6652,63.91564454450931,articulation,
21050,21068,64.0352054534722,bridge,
6506,6549,64.08860953603252,bridge,
744,753,64.35228784078184,bridge,
1750,1770,64.72358681026692,articulation,
15237,15364,64.95719046057249,bridge,
15306,15528,65.0138342875247,bridge,
19929,20078,65.37070830199755,bridge,
5653,5695,65.62941783863442,community,
31879,31922,65.71972195748678,bridge,
13969,14101,65.76307974652325,community,
13939,36201,65.8263448625949,community,
17853,17890,65.88882285492471,bridge,
5718,5744,66.10655507901522,articulation,
21645,21697,66.15457257137116,bridge,
5619,5695,66.22994931315561,community,
1790,1806,66.45339078262215,bridge,
21212,21308,66.46934075499932,community,
10811,10852,66.68143472260897,bridge,
18727,36434,66.71067966056418,bridge,
5705,5744,66.77881746801832,articulation,
11403,11447,67.00909671646023,community,
13882,14017,67.02804296326465,articulation,
6484,6611,67.03340867844635,bridge,
32951,32953,67.6971903047152,bridge,
13322,13415,67.7107687536767,bridge,
31862,31919,67.80336454346855,articulation,
8474,8484,67.81253123932568,bridge,
20670,20790,67.83781144554384,bridge,
6637,6644,67.98414389857302,articulation,
20926,20980,68.08144157636053,bridge,
11395,11403,68.23619490706511,community,
18922,18946,68.2902305421067,bridge,
20916,20980,68.37364269204052,bridge,
24035,24170,68.58955601165715,bridge,
31385,31389,68.62871510374468,bridge,
10418,10465,68.66755213728706,bridge,
14682,14806,68.80627536860929,bridge,
30300,30317,69.31522681821616,bridge,
749,771,69.33819862265479,bridge,
21106,21108,69.37902849573788,bridge,
1633,1640,69.5071295266703,bridge,
23962,23991,69.54400463088918,bridge,
22835,22872,69.57820502250924,articulation,
20926,20964,69.68084259904899,bridge,
21207,36488,69.79360648121164,bridge,
15736,15832,69.94260405345435,bridge,
6634,6639,70.06501835549888,articulation,
7186,7213,70.22429970749211,bridge,
11403,11467,70.52190113357729,community,
10417,10466,70.79263120981894,bridge,
31863,31919,70.94283905134094,articulation,
18922,19076,71.25357747289074,bridge,
24057,24167,71.46990906916946,bridge,
28054,28057,71.5594493574259,bridge,
10824,36117,71.64652715429229,bridge,
10502,10533,71.72374648025593,community,
32304,32324,71.78932184351682,bridge,
20986,21050,71.88210102085168,bridge,
1037,1045,72.13143542378737,bridge,
28189,28215,72.17240110267456,bridge,
10637,10743,72.39700593535439,bridge,
24170,24189,72.47559357969637,articulation,
6220,6235,72.80681749693117,bridge,
7435,7448,72.94775290581521,bridge,
17851,17999,73.05946461864842,bridge,
1898,1920,73.2321833914252,bridge,
11403,11469,73.61219624002567,community,
21719,22250,73.66776562490458,bridge,
1951,1956,73.71126038657752,bridge,
12127,12386,73.81560221723377,community,
13116,13298,73.84616619093698,bridge,
