u,v,euclid_dist,source,detour_ratio
9125,9135,300.3710039930517,detour,6.728525468139635
6624,7151,300.5778879346259,articulation,
9988,10040,300.88878303191433,bridge,
8724,8953,301.0402173033417,community,
7682,7897,301.04325797116945,bridge,
6549,6630,301.34204108697907,detour,8.891240456809948
25587,25875,301.73052650604177,community,
25543,25876,301.91512904172026,bridge,
20078,20493,302.1926630109776,articulation,
24536,25039,302.2060460025564,bridge,
1548,1610,302.24634556311895,detour,5.3631712961582405
11843,12173,302.564228683101,community,
31218,31278,302.87385896868454,bridge,
8194,8613,303.07512203268794,bridge,
20812,21365,303.1669376480225,detour,6.318102030964753
7212,7317,303.3823295145587,detour,12.178289843043823
6624,6672,303.47910933898606,articulation,
21006,21134,303.53728109547535,detour,6.9001547756265555
20916,21365,303.58477113509304,detour,6.585708137332548
31513,31549,303.8700445587157,bridge,
6624,7236,303.94216317789113,articulation,
3994,4115,303.9688818231786,community,
11048,11290,304.13373039772375,bridge,
1143,1210,304.32527894439477,bridge,
8714,8953,304.350331490342,community,
14736,15022,304.55092559345144,community,
18076,18757,305.54919263847853,community,
15528,16288,305.6929285722133,bridge,
6506,6516,305.7906706463908,detour,5.37220353101928
18062,18084,305.91223340062794,bridge,
4969,5032,306.03284571132383,articulation,
18076,18759,306.04559797353386,community,
16498,16954,306.60696443005344,community,
19641,19653,306.6418600641939,detour,14.334732741359883
13345,13934,306.68579114118324,community,
24199,24316,306.7134223530943,bridge,
28499,37742,306.79987921333316,community,
20569,21131,306.9758901574425,detour,5.048047902615007
6506,6556,307.8626313280127,detour,5.438827707954292
29261,29276,307.88331335450306,bridge,
25693,25751,308.16797949634156,bridge,
20812,21369,308.4038418471601,detour,6.21736850753632
32050,32071,308.48994539772406,bridge,
8467,8685,308.52290702534003,detour,5.16895699618908
6655,7236,308.97843280783354,articulation,
27532,27776,309.23896753876124,bridge,
6552,7021,309.24142092728175,detour,7.487074063419826
21438,22250,309.9884908827125,detour,9.062104212473471
8745,8953,310.00477689331734,community,
8739,8953,310.6605556624692,community,
35067,35094,310.7781370310246,bridge,
6549,7146,310.80277058509193,detour,8.594844509922263
6552,6880,310.8792715988328,detour,7.593787736076559
13174,13421,310.9965939518436,community,
8882,8988,311.16926823024386,bridge,
20916,21369,311.7615425228916,detour,6.41946203777228
11403,11853,311.9268241334614,community,
28499,28639,311.9289186168728,community,
20872,21454,312.2527925323664,detour,5.316837995732984
29810,29816,312.747054969674,bridge,
17210,17652,312.8280284565337,detour,5.723979935483808
6659,7021,313.1179473333452,detour,7.4629628978286995
8731,8953,313.2698554615548,community,
16407,16954,313.285049636052,community,
6506,6659,314.231025552376,detour,5.444455804619156
9391,9584,314.37832701690445,bridge,
1027,1052,314.43014138225465,articulation,
7411,7558,314.4993949116309,community,
9047,9222,315.44466382661926,detour,6.5043643719016595
6659,7184,316.0626502834576,detour,7.6278560508570665
8467,8732,316.18877203720297,detour,5.312334154586774
21077,21134,316.28033856898554,detour,6.820938493276755
21580,36498,316.7217243663175,bridge,
27205,27553,317.11337965347593,bridge,
21575,36498,317.28136435924256,detour,5.636936088079679
19810,19935,317.41052877637725,bridge,
7196,7317,317.445600295863,detour,11.580800979513809
33591,33597,318.329763531133,articulation,
5118,5120,318.5450457973298,bridge,
27516,27778,318.61844756444134,bridge,
7036,7274,318.6946569055334,detour,8.976893856001052
32373,32384,318.81144933124165,articulation,
8333,8467,318.93279102918234,community,
25862,26043,319.2317218377584,bridge,
34139,34152,319.3227576490206,articulation,
1601,1627,319.54515946134944,detour,8.166416387775032
30845,30944,319.90933032830907,bridge,
25791,25873,320.20526051466607,bridge,
20980,21268,320.4599228805721,detour,6.2342782051428065
15951,16703,320.83648621541994,community,
20964,21268,320.95624039714914,detour,6.188316420961466
16424,16954,321.6622229900579,community,
11290,11617,321.7318874475112,detour,5.54545432313185
21000,21295,322.09782186360474,detour,5.696308789363898
21077,21162,323.0615118481609,detour,6.712253054724884
7421,7592,323.4274611795219,detour,7.058749420623819
6549,6800,323.43066279604926,detour,8.023283062562136
10070,36059,323.77909223181956,detour,7.603758230610333
25210,25419,323.8179475889509,bridge,
1683,1764,323.8639162435875,community,
7021,7226,324.54000416633517,detour,8.30142391912619
16543,17430,324.60698755895925,detour,7.445353775216151
28224,28226,324.6903882338277,bridge,
27932,28011,324.69927805517864,detour,13.054458233010491
22451,22454,325.02014732267247,articulation,
21000,21451,325.6061532692448,detour,6.53331448040396
6659,6880,325.7729717025517,detour,7.312532372624279
28329,28467,326.0953844265029,articulation,
20890,21000,326.2218217394733,detour,5.2234261371358865
20872,21451,326.8274765235776,detour,5.390608908610488
27907,27925,326.8291049978955,bridge,
25717,25996,326.896595632621,bridge,
1687,1764,327.53630170507637,community,
28976,28977,327.9034833719263,articulation,
6808,7206,327.9489373897127,detour,8.61331213560088
3954,4038,328.342310321099,community,
25348,26091,328.4758106846997,bridge,
27932,28014,328.5148934757776,detour,12.455215854583289
25904,26337,328.67268257431726,bridge,
20986,21451,328.78889141916926,detour,6.443548884833216
1601,1633,329.05791830914035,detour,8.68786798833836
22250,22334,329.3612586853828,detour,6.64644945440286
8317,8467,330.1029179767858,community,
20845,21454,330.13632421153153,detour,5.034237937496675
34642,34647,330.2486023872399,articulation,
4846,5365,330.4679159549232,bridge,
26752,27000,330.6770302430795,bridge,
35094,35114,330.71980853651917,bridge,
6986,7232,330.925088865495,bridge,
20845,21451,331.0838324247387,detour,5.326706501771442
10078,36060,331.6713437971427,detour,9.717117921379183
6635,7184,331.67750397011923,articulation,
18302,18387,332.1014075622647,articulation,
35306,35312,332.2140671774045,bridge,
30235,30268,333.19463103567085,bridge,
31752,31834,333.23589738128356,bridge,
13005,13421,333.2934612198742,community,
33519,33526,333.3586108038689,detour,5.559747814571203
7413,7592,333.8195092868846,detour,6.874415691262225
6556,7021,334.12001592799373,detour,6.8848988159369675
31959,32028,334.2769852948106,community,
19912,20015,334.36147699359805,bridge,
21575,36499,334.4530977782767,bridge,
12945,12947,334.50661431191213,community,
20872,21335,334.7593370224465,detour,5.119853139196549
17934,18456,334.8099389633812,bridge,
7036,7213,334.96624710383486,detour,8.935877422659392
8645,8936,335.0372729839072,detour,30.82409197361502
30728,30793,335.061045305279,bridge,
13098,13421,335.1305422526244,community,
11290,11636,335.6741627967659,detour,5.352563555524546
19390,20822,336.0947451738323,bridge,
1012,1052,336.3323851250155,articulation,
30221,30373,336.4422506033906,articulation,
739,819,336.9024608254643,detour,5.115584663738092
20841,21451,337.47280483947077,detour,5.14731719989736
17647,18039,337.8841717283432,community,
9125,9202,337.95580576944224,detour,8.240920148618391
23162,23699,338.48416901651706,bridge,
21050,21454,338.50875353506365,detour,6.20364116282397
21048,21454,338.6367307351352,detour,6.173211169321424
9158,9295,338.68765218302735,bridge,
21000,21284,338.7061842889276,detour,5.461418848938663
7324,7558,338.98375272682586,community,
252,429,338.9841883326887,detour,12.608402895292846
8328,8467,339.0957455383097,community,
22842,23073,339.13717311508407,community,
29074,29167,339.29962189312215,bridge,
29759,29812,339.53161665369737,community,
6556,6880,339.8165128515614,detour,6.903196847223465
4300,4391,339.88276646631385,bridge,
6637,7184,340.2121008420363,articulation,
252,398,340.34714539445116,bridge,
247,429,340.37148380817314,bridge,
13858,13947,340.37815874319716,community,
20883,21000,340.41628508825676,detour,5.037983055268406
20055,20058,340.614740869053,bridge,
21153,21699,340.80283471802096,bridge,
30282,30526,341.403961047475,community,
1770,1920,342.45001177715335,articulation,
6639,7186,342.61941361820004,articulation,
3954,4049,342.70168874986916,community,
29262,29304,342.7595029423703,bridge,
247,398,342.7958209202688,detour,12.468262284361979
6806,7206,343.22815349352055,detour,8.147530069057568
28721,28757,344.277083209092,bridge,
1761,1880,344.3517715586118,articulation,
25506,25875,344.6307087299106,community,
29759,29863,344.7173750605358,detour,12.736627524043339
27932,28012,344.728670420655,detour,11.950301044536262
13508,14427,345.1840785471044,community,
16922,17430,345.4574649084717,detour,5.8585999712255346
13487,14427,345.68633521253815,community,
24864,25050,346.07300722217826,bridge,
20150,20843,346.47596901528885,bridge,
12240,12945,346.60418414552316,community,
6800,7206,346.6153462913068,detour,8.08269945446103
12687,13196,347.8056276562585,detour,5.531094291164343
32385,32388,347.8713142568882,articulation,
16354,18467,347.8950346806613,bridge,
20916,21226,348.51461425477197,detour,5.5182176185284595
20986,21131,348.83161573880795,detour,6.078814406757915
31336,31436,348.9442070952059,bridge,
6834,7206,349.21173996226474,detour,7.940146670918011
14625,15648,349.26480605655195,detour,5.0652909252394736
28010,28030,349.27493130892594,bridge,
31121,31217,349.3980161954378,bridge,
5831,6075,349.5172499979221,community,
18169,18387,350.04855434065934,articulation,
14436,15067,350.14849118836975,community,
1601,1629,350.1820414233965,detour,7.6213837136454945
251,289,350.1907502287159,bridge,
6552,7184,350.3942401963113,detour,6.819193707187128
31542,31549,350.4449066706586,articulation,
14436,15101,350.5797829148161,community,
149,151,350.6154854793271,bridge,
8312,8467,350.64385698626967,community,
11290,11657,350.67438116118046,detour,5.173208672801157
21000,21131,351.08317131434075,detour,6.064667653330458
20980,21451,351.15057644889714,detour,5.988048675490395
6320,6549,351.3650963956895,detour,5.3967985690551075
28439,28529,351.3694370573938,bridge,
8656,8936,352.0012085548544,detour,26.79072161040098
6556,7184,352.2098609583665,detour,6.74164905946719
26695,26930,352.25770298668925,community,
24428,25100,352.4585685591371,detour,7.228147800300457
14180,14938,352.6361933185776,detour,6.281161268413166
6659,7146,352.67547901102216,detour,6.703913140842902
24885,25110,353.3372279771998,bridge,
5725,5931,353.55747834015904,community,
21000,21293,353.7320618192298,detour,5.4463377016171775
14810,14883,353.80111383591276,detour,6.819299340369544
9476,9714,354.11011322442533,community,
12986,13546,354.12648694307194,community,
