u,v,euclid_dist,source,detour_ratio
125,128,10.183964001418278,bridge,
4223,4228,10.210430125802175,community,
134,135,10.27916944172023,bridge,
2693,2696,10.480380018613774,community,
14285,14330,10.5457490786031,bridge,
11400,11412,10.605786733087552,bridge,
133,136,10.606981682334125,bridge,
3350,3365,10.609826279138698,bridge,
4179,4182,10.636782558797877,community,
25618,25619,10.734983719269666,bridge,
137,140,10.816417392103316,bridge,
126,127,10.819251195838225,bridge,
4180,4181,11.054632809327678,community,
122,123,11.165971523511901,bridge,
89,92,11.277052128900264,bridge,
3975,3978,11.320466469028192,community,
167,170,11.4029648640071,bridge,
65,68,11.491209147629979,bridge,
10924,10942,11.521443996566726,bridge,
13659,13678,11.568537871406583,bridge,
11864,11873,11.57056448346536,bridge,
20814,20845,11.744142722059058,community,
3976,3977,11.75734755127549,community,
59,62,11.797684639352383,bridge,
22541,22550,11.822471152573273,community,
90,91,11.891114629083225,bridge,
3964,3965,11.908395677317454,community,
121,124,11.921922283547172,bridge,
2617,2620,11.991876365348388,community,
51,54,12.09275321547572,bridge,
10267,10286,12.114132806040864,bridge,
254,299,12.144673746282189,bridge,
18543,19001,12.192767826895748,bridge,
7443,7464,12.222372214112823,bridge,
14110,14117,12.409108081050812,bridge,
10281,24563,12.513267497092933,bridge,
10926,10944,12.559647813281783,bridge,
2631,2634,12.566267551200129,community,
2734,2735,12.860261848457268,community,
3361,3386,12.99912878079865,bridge,
2974,2986,13.133063353300289,bridge,
16218,16227,13.241494756523712,bridge,
21936,21943,13.381752293417005,community,
19217,19224,13.414717129181504,community,
17306,17315,13.438923575971813,bridge,
269,298,13.762545960817489,bridge,
19623,19632,13.887945386427086,bridge,
11132,11184,13.96498352517081,bridge,
48,49,14.303148798557537,bridge,
25622,25623,14.391093960019173,bridge,
138,139,14.616664221873268,bridge,
247,250,14.627423915520565,bridge,
66,67,14.714595796365206,bridge,
19212,19229,14.940294528567092,community,
22126,22157,15.057708753616676,bridge,
23627,23630,15.099802701883,bridge,
21099,21110,15.107244623776275,bridge,
12793,12797,15.137116179365242,bridge,
11034,11036,15.236360622553173,bridge,
240,249,15.281466353381274,bridge,
12957,13035,15.285993985147773,community,
4588,4591,15.47566507280324,bridge,
4373,4376,15.530940037087241,bridge,
193,196,15.557924307092451,bridge,
168,169,15.724416186717903,bridge,
52,53,15.807093929544036,bridge,
13566,13757,15.833697126194823,bridge,
23228,23229,16.002394582417107,bridge,
956,23834,16.002422145144983,bridge,
947,954,16.002428656970523,bridge,
60,61,16.08450787163112,bridge,
11863,11874,16.16257150670398,bridge,
22542,22549,16.28352221839117,community,
12846,12875,16.326955426342725,bridge,
19021,19038,16.487239864566217,bridge,
4374,4375,16.51241172283991,bridge,
4380,4381,16.696921534193415,bridge,
21092,21107,16.82349403046807,bridge,
4492,4526,16.83332196270664,bridge,
4363,4366,16.924286954549903,bridge,
22593,22608,16.932263797239443,community,
21106,21109,16.958212797145254,bridge,
6494,6501,17.066566259130607,bridge,
3349,3386,17.074688196206168,bridge,
22071,22082,17.101450004348525,bridge,
11062,11133,17.28923662327847,bridge,
21545,21548,17.32336393187231,bridge,
11924,11931,17.348667117404474,bridge,
3347,3349,17.488854982990233,bridge,
11107,11182,17.531925750447154,bridge,
10676,10678,17.597495120171168,bridge,
2192,23896,17.637764884249677,bridge,
12888,12900,17.848488051123695,bridge,
25614,25615,17.92130262524001,bridge,
19211,19231,18.139026313465514,community,
22700,22705,18.157679848200164,bridge,
22072,22081,18.385616125104363,bridge,
17557,17569,18.958939757118912,bridge,
18350,18359,19.006197338549946,bridge,
4368,4369,19.017079805051424,bridge,
