u,v,euclid_dist,source
14282,14879,3191.0,vaccine
8727,13339,4541.3,vaccine
10038,15202,3614.4,vaccine
9670,10335,3647.3,vaccine
13302,15202,4836.8,vaccine
6288,9449,4648.7,vaccine
13640,14068,4090.7,vaccine
17717,19200,1930.0,vaccine
13397,14362,2533.1,vaccine
8633,11459,3396.0,vaccine
17821,24943,4670.2,vaccine
18033,19516,4386.0,vaccine
9307,12435,3895.0,vaccine
13431,14972,4726.7,vaccine
14342,14580,4379.5,vaccine
6265,9486,4237.7,vaccine
19173,19793,1795.6,vaccine
4781,4840,486.5,vaccine
12907,14468,3268.3,vaccine
13350,14473,4637.9,vaccine
7169,7762,1640.5,vaccine
8310,13319,4749.9,vaccine
12233,17821,4990.7,vaccine
10307,13319,2035.3,vaccine
13810,14362,4325.4,vaccine
19455,19516,875.6,vaccine
11499,12479,2967.5,vaccine
13474,14677,3083.7,vaccine
14585,15427,4031.4,vaccine
13856,14972,2254.2,vaccine
4703,4877,1036.3,vaccine
6277,8059,4495.4,vaccine
7143,8127,3447.1,vaccine
8734,13499,4073.6,vaccine
9727,11695,4300.4,vaccine
9454,13339,4954.9,vaccine
12206,17870,4287.1,vaccine
7788,9095,3068.6,vaccine
13692,14473,3926.3,vaccine
9209,13479,3022.9,vaccine
9219,14362,4434.5,vaccine
14546,17717,3590.6,vaccine
9215,9651,2920.1,vaccine
3602,3668,392.8,vaccine
14068,15275,4318.7,vaccine
8633,13497,3788.1,vaccine
8906,8913,1969.3,vaccine
8976,15275,4656.7,vaccine
8334,11695,3436.6,vaccine
9526,13479,2495.8,vaccine
10324,13482,3212.0,vaccine
12293,14473,4942.2,vaccine
11543,24669,3515.8,vaccine
3574,3742,1139.8,vaccine
20273,22725,3386.6,vaccine
4225,4250,1766.8,vaccine
13350,18087,4307.8,vaccine
12250,13585,4402.4,vaccine
7667,9195,2074.0,vaccine
7267,11769,4863.0,vaccine
6761,9987,4684.4,vaccine
9252,9987,4895.5,vaccine
22714,23042,3976.0,vaccine
9465,13499,3538.8,vaccine
11755,13077,4128.8,vaccine
11499,14580,2257.1,vaccine
14260,15974,3989.5,vaccine
16416,17874,2412.1,vaccine
12479,13822,2769.4,vaccine
12244,15974,4128.2,vaccine
4181,4317,3291.8,vaccine
11773,13482,3577.0,vaccine
7143,10085,4050.9,vaccine
9727,13692,3419.0,vaccine
13692,18087,4453.0,vaccine
16811,18087,3136.2,vaccine
4250,4500,3980.4,vaccine
12168,13574,3824.8,vaccine
8059,13152,4773.1,vaccine
8916,9199,4080.3,vaccine
8728,11773,4049.3,vaccine
9323,14823,3541.5,vaccine
9312,10260,4439.3,vaccine
1185,1413,4563.3,vaccine
9215,13077,2943.4,vaccine
10314,24933,1843.0,vaccine
12069,24934,2676.2,vaccine
13035,13822,2554.5,vaccine
13436,13856,1298.3,vaccine
12225,17874,4267.2,vaccine
13077,14712,3954.0,vaccine
8059,24678,4749.1,vaccine
15802,16406,4103.7,vaccine
10324,16406,4997.7,vaccine
14078,14682,1492.4,vaccine
6268,8187,4573.1,vaccine
8653,13152,3463.0,vaccine
4318,4597,3818.4,vaccine
12229,13919,1894.4,vaccine
13350,24966,2539.2,vaccine
13521,14841,1369.3,vaccine
15123,19180,4277.7,vaccine
10327,13080,3367.6,vaccine
13338,13822,2338.9,vaccine
14677,24934,4676.4,vaccine
13004,14739,3373.1,vaccine
9303,24934,2850.9,vaccine
8659,9097,3280.2,vaccine
8902,13856,4390.2,vaccine
13532,16015,1922.6,vaccine
6705,7143,1012.2,vaccine
8179,8323,3702.7,vaccine
9276,13713,4537.6,vaccine
12202,14095,2446.4,vaccine
11773,16406,4924.0,vaccine
13379,18161,3879.8,vaccine
7671,8622,3322.0,vaccine
9199,10324,2982.3,vaccine
3337,3953,4251.3,vaccine
13692,24966,3225.8,vaccine
6341,8445,3953.3,vaccine
1200,1837,4882.4,vaccine
7678,9199,1872.1,vaccine
22736,23045,2056.4,vaccine
13644,14992,3569.2,vaccine
14972,24934,4829.5,vaccine
16381,24936,3655.5,vaccine
8728,13822,3885.3,vaccine
9741,13242,2785.9,vaccine
10816,13244,4815.8,vaccine
9234,13856,3709.4,vaccine
13384,14280,4789.8,vaccine
13713,16433,2942.8,vaccine
17993,19320,4306.2,vaccine
4597,4670,4049.0,vaccine
8324,8622,1440.0,vaccine
9327,14095,3358.1,vaccine
11635,13330,4839.1,vaccine
10314,10327,4064.1,vaccine
7715,8767,4717.1,vaccine
14712,14841,2008.4,vaccine
9187,24966,3061.5,vaccine
9741,24967,2517.4,vaccine
13036,13310,4767.5,vaccine
13242,16720,3749.5,vaccine
6414,8728,3678.6,vaccine
8312,14342,4912.3,vaccine
7740,9312,4833.8,vaccine
17609,24936,4254.3,vaccine
10335,24934,1781.7,vaccine
9670,13856,4511.7,vaccine
5373,5437,815.3,vaccine
14432,16433,4033.1,vaccine
16766,18944,4770.4,vaccine
11543,13375,1254.2,vaccine
10327,14951,4935.4,vaccine
8310,9234,2769.0,vaccine
10088,12674,1752.0,vaccine
12233,13330,2769.2,vaccine
11580,14186,2213.7,vaccine
13885,19247,4794.7,vaccine
17499,19247,2919.0,vaccine
8871,10327,4732.6,vaccine
9457,14462,4082.1,vaccine
13379,24967,1683.3,vaccine
