rank,u,v,source,cost_m,vaccine_score
1,19543,19635,vaccine,1860.5,9.0
2,11989,12361,vaccine,323.5,9.0
3,25742,26478,vaccine,598.9,8.0
4,7191,12058,vaccine,2303.9,8.0
5,14953,15079,vaccine,319.0,8.0
6,19635,19882,vaccine,1340.8,8.0
7,26217,26478,vaccine,486.6,8.0
8,7132,12058,vaccine,2313.3,8.0
9,19191,19635,vaccine,1436.6,8.0
10,10528,11455,vaccine,510.2,8.0
11,20242,20464,vaccine,4598.8,7.0
12,7132,10677,vaccine,3690.2,7.0
13,7132,8368,vaccine,1940.4,7.0
14,12058,12904,vaccine,2996.0,7.0
15,23362,23396,vaccine,1529.5,7.0
16,7191,11455,vaccine,1979.1,7.0
17,25918,26004,vaccine,638.6,7.0
18,26203,26478,vaccine,494.3,7.0
19,5058,12058,vaccine,3711.7,7.0
20,7132,12904,vaccine,3833.8,7.0
21,7191,13048,vaccine,3362.6,7.0
22,8750,12058,vaccine,2247.5,7.0
23,25022,25254,vaccine,820.0,7.0
24,7667,8652,vaccine,520.6,7.0
25,7132,9352,vaccine,1885.1,7.0
26,5058,7132,vaccine,1642.5,7.0
27,7016,7191,vaccine,4434.0,7.0
28,12287,13048,vaccine,798.1,7.0
29,7028,7191,vaccine,4571.4,7.0
30,12720,13006,vaccine,551.1,7.0
31,10677,12058,vaccine,3884.7,7.0
32,7191,8508,vaccine,2312.7,7.0
33,12058,14853,vaccine,2978.6,7.0
34,12058,12361,vaccine,3838.7,7.0
35,7132,12300,vaccine,3968.8,7.0
36,7191,12854,vaccine,2941.9,7.0
37,7016,7132,vaccine,4440.0,7.0
38,4977,7191,vaccine,1858.6,7.0
39,7191,15079,vaccine,4809.0,7.0
40,7191,11989,vaccine,3808.1,7.0
41,7028,7132,vaccine,4577.4,7.0
42,10933,12058,vaccine,2843.9,7.0
43,7191,12361,vaccine,4130.4,7.0
44,7132,13343,vaccine,3564.6,7.0
45,4977,12058,vaccine,3882.4,7.0
