rank,u,v,source,cost_m,vaccine_score
1,609,645,bridge,701.8,7.0
2,3840,3868,bridge,760.7,7.0
3,9142,9281,community,358.4,6.0
4,626,635,bridge,838.9,6.0
5,11038,11073,community,1309.9,6.0
6,12197,12218,articulation,1634.0,6.0
7,5269,5429,community,320.6,5.0
8,3980,3991,articulation,988.6,5.0
9,829,883,community,1498.5,5.0
10,9874,10236,detour,451.2,4.0
11,5365,13825,community,500.4,4.0
12,7489,7530,community,507.9,4.0
13,9728,9874,detour,611.8,4.0
14,9729,9874,detour,621.5,4.0
15,9645,10206,detour,967.6,4.0
16,3081,3289,community,1194.7,4.0
17,3499,3713,articulation,1590.2,4.0
18,5365,6264,articulation,1837.5,4.0
19,5365,6394,articulation,1849.8,4.0
20,3634,3983,articulation,1880.0,4.0
21,6327,7348,articulation,1932.4,4.0
22,4331,4459,articulation,1982.1,4.0
23,9609,9732,detour,355.2,3.0
24,9874,10229,detour,441.0,3.0
25,3264,3289,community,448.7,3.0
26,5368,13825,community,507.6,3.0
27,5011,5126,community,516.7,3.0
28,9118,9284,community,596.5,3.0
29,9874,10206,detour,679.1,3.0
30,9740,14411,detour,713.6,3.0
31,9743,14411,detour,718.7,3.0
32,9631,10206,articulation,989.3,3.0
33,991,1064,community,1166.5,3.0
34,991,1065,community,1168.5,3.0
35,991,1075,community,1212.9,3.0
36,3077,3289,community,1216.1,3.0
37,888,929,detour,1283.0,3.0
38,3109,3376,articulation,1291.1,3.0
39,3103,3376,articulation,1298.4,3.0
40,8379,8420,community,1323.4,3.0
41,3289,13629,community,1327.6,3.0
42,3289,13632,community,1373.0,3.0
43,4351,4459,articulation,1496.0,3.0
44,495,525,articulation,1646.4,3.0
45,4427,4452,community,1655.8,3.0
46,4706,5617,detour,1793.1,3.0
47,5617,13756,detour,1795.4,3.0
48,5806,6898,articulation,1815.2,3.0
49,5368,6264,articulation,1824.9,3.0
50,5368,6394,articulation,1839.5,3.0
51,4925,5582,articulation,1855.6,3.0
52,5806,6819,articulation,1857.2,3.0
53,5011,5938,articulation,1924.8,3.0
54,4409,4788,articulation,1940.9,3.0
55,5011,5905,articulation,1944.9,3.0
56,5446,6454,articulation,1962.5,3.0
57,3434,3713,articulation,1992.5,3.0
58,5778,6946,articulation,1997.7,3.0
59,10147,10149,bridge,315.1,2.0
60,6793,7015,community,318.3,2.0
61,5269,5380,community,327.7,2.0
62,6793,7037,community,336.8,2.0
63,4627,4659,community,338.7,2.0
64,6264,6374,community,339.7,2.0
65,6793,7042,community,343.1,2.0
66,11541,11563,bridge,350.0,2.0
67,4378,4434,community,355.6,2.0
68,11563,11574,articulation,372.3,2.0
69,9738,14400,detour,376.7,2.0
70,12465,12469,bridge,381.0,2.0
71,13825,13855,community,383.7,2.0
72,11574,11594,articulation,387.9,2.0
73,12203,12221,bridge,404.4,2.0
74,9889,10236,detour,417.2,2.0
75,3070,3088,articulation,421.7,2.0
76,3810,3927,detour,443.8,2.0
77,9585,9732,detour,456.1,2.0
78,5408,13825,community,462.7,2.0
79,4369,4372,articulation,466.9,2.0
80,9356,9448,bridge,468.2,2.0
81,4451,4464,community,471.9,2.0
82,9731,14401,detour,472.8,2.0
83,9738,14401,detour,482.1,2.0
84,9997,10001,bridge,490.8,2.0
85,6385,13923,detour,495.4,2.0
86,5030,5126,community,519.1,2.0
87,12172,12203,articulation,539.2,2.0
88,7482,7530,community,549.9,2.0
89,5738,5964,bridge,552.0,2.0
90,8855,8912,articulation,564.3,2.0
91,4459,4462,bridge,570.4,2.0
92,7449,7834,bridge,580.3,2.0
93,7850,7981,detour,581.2,2.0
94,8841,8912,articulation,588.5,2.0
95,8379,8406,community,590.7,2.0
96,9728,9889,detour,594.8,2.0
97,9423,9731,articulation,603.4,2.0
98,9729,9889,detour,603.6,2.0
99,9423,9738,articulation,605.5,2.0
100,9042,9281,community,612.3,2.0
101,4291,4345,bridge,618.0,2.0
102,4374,4535,bridge,637.7,2.0
103,1762,1799,bridge,650.0,2.0
104,1254,1263,community,671.5,2.0
105,9732,14411,detour,674.9,2.0
106,10356,10416,community,676.0,2.0
107,10349,10416,community,688.6,2.0
108,9184,9189,bridge,691.0,2.0
109,9557,9732,detour,694.6,2.0
110,8850,8965,bridge,697.4,2.0
111,9732,14392,detour,707.4,2.0
112,9400,9731,articulation,708.6,2.0
113,12158,12162,bridge,709.8,2.0
114,9400,9738,articulation,710.5,2.0
115,9737,14411,detour,716.3,2.0
116,630,635,bridge,716.7,2.0
117,9740,14422,detour,718.6,2.0
118,9758,14411,detour,720.6,2.0
119,9743,14422,detour,723.8,2.0
120,4613,4798,detour,730.1,2.0
121,627,635,detour,733.2,2.0
122,627,645,detour,734.4,2.0
123,9018,9281,community,745.6,2.0
124,9777,14411,detour,746.1,2.0
125,11898,11937,bridge,767.9,2.0
126,9740,14420,detour,769.8,2.0
127,11898,11928,articulation,772.9,2.0
128,9743,14420,detour,775.0,2.0
129,647,680,bridge,791.7,2.0
130,9609,9931,detour,793.7,2.0
131,9732,14400,detour,827.2,2.0
132,3911,3980,bridge,830.2,2.0
133,8738,9023,articulation,838.8,2.0
134,4981,13828,detour,855.8,2.0
135,4964,13828,detour,866.2,2.0
136,1010,1037,detour,866.9,2.0
137,4967,13828,detour,870.8,2.0
138,5646,13958,detour,875.5,2.0
139,11879,11906,articulation,880.5,2.0
140,8786,8894,articulation,881.1,2.0
141,5646,13959,detour,884.3,2.0
142,8632,8752,articulation,894.4,2.0
143,4018,4192,articulation,917.1,2.0
144,9409,9740,detour,957.8,2.0
145,9409,9743,detour,960.5,2.0
146,13060,13064,community,960.9,2.0
147,11545,11563,articulation,976.7,2.0
148,9636,10206,articulation,979.4,2.0
149,12166,12203,articulation,985.2,2.0
150,8379,8431,community,985.4,2.0
151,4369,4387,articulation,996.5,2.0
152,9622,10206,articulation,1001.5,2.0
