rank,u,v,source,cost_m,vaccine_score
1,7676,7707,vaccine,837.4,12.0
2,6585,7553,vaccine,4053.4,11.0
3,8976,9222,vaccine,326.5,11.0
4,7678,7707,vaccine,859.5,8.0
5,6754,6823,vaccine,3541.0,8.0
6,19215,19394,vaccine,1345.5,8.0
7,6773,6823,vaccine,3566.6,8.0
8,19300,19394,vaccine,444.3,8.0
9,7676,8059,vaccine,494.8,8.0
10,10045,10060,vaccine,2899.7,8.0
11,13035,24950,vaccine,1010.5,7.0
12,8976,9226,vaccine,326.9,7.0
13,6259,9025,vaccine,4845.1,7.0
14,8761,10126,vaccine,1474.9,7.0
15,19821,20299,vaccine,954.5,7.0
16,14720,15023,vaccine,319.5,7.0
17,6705,6873,vaccine,1102.5,7.0
18,12328,24950,vaccine,675.9,7.0
19,13454,13482,vaccine,1316.6,7.0
20,7671,7707,vaccine,1790.5,7.0
21,12306,13298,vaccine,624.0,7.0
22,19200,19300,vaccine,2385.1,7.0
23,9288,9449,vaccine,320.8,7.0
24,9065,9288,vaccine,407.8,7.0
25,6091,7553,vaccine,4562.8,7.0
26,14432,14702,vaccine,649.3,7.0
27,9025,24950,vaccine,4893.2,7.0
28,2580,3570,vaccine,3480.0,7.0
29,13035,13454,vaccine,1787.8,7.0
30,3505,3570,vaccine,3556.7,7.0
31,6414,6680,vaccine,1848.3,7.0
32,10045,13184,vaccine,3614.2,7.0
33,8394,9025,vaccine,2608.0,7.0
34,19721,19833,vaccine,554.4,7.0
35,6268,9025,vaccine,4853.9,7.0
36,16416,17870,vaccine,2387.1,7.0
37,4774,4877,vaccine,688.9,7.0
38,7678,8059,vaccine,493.2,7.0
39,8394,8706,vaccine,500.5,7.0
40,9065,9465,vaccine,519.8,7.0
